DIVULGADOR;ID_RAW;ID_DIGITS;ID;NOME_FANTASIA;RAZAO_SOCIAL;CNPJ_CPF;ENDERECO;NUMERO;CEP;BAIRRO;CIDADE;UF;TELEFONE;EMAIL
Dayse Pontes;018.406;018406;18406;CADI - CENTRO DE APRENDIZAGEM E DESENVOLVIMENTO INFANTIL;LUIS DE LIMA LEITE;40.971.335/0001-71;RUA COMERCIANTE PEDRO GUIMARÃES LEITE;62;58079-460;FUNCIONÁRIOS;JOÃO PESSOA;PB;83 98892-5663;***
Dayse Pontes;013.916;013916;13916;CEB - CENTRO EDUCACIONAL BRASILEIRO;MARIA DA PENHA ARAUJO KIKUTI;03.572.691/0001-96;RUA LEOPOLDO PEREIRA LIMA;193;58059-200;MANGABEIRA;JOÃO PESSOA;PB;83 98714-5722;penhacoordenadora@outlook.com
Dayse Pontes;009.407;009407;9407;CEDI - CENTRO EDUC. DE DESENVOLVIMENTO INFANTIL;WALNEIDE DA SILVA COSTA - ME;01.767.378/0001-88;RUA ANIZIO DE AZEVEDO LIMA;302;58057-270;MANGABEIRA;JOÃO PESSOA;PB;83 98856-8046;suzanna_scosta@hotmail.com
Dayse Pontes;020.675;020675;20675;CEDUC-CENTRO EDUCACIONAL DE SANTA LUZIA;NIXOMARA MARINHO DE LIRA - ME;04.139.301/0001-51;RUA JOÃO BOSCO DE LIMA;101;58600-000;SÃO JOSÉ;SANTA LUZIA;PB;83 3461-2355 / 3461-2355 / 99628-2524;ceduc.sl@hotmail.com
Dayse Pontes;009.411;009411;9411;CELP COLEGIO E CURSO;CENTRO EDUCACIONAL LUIZA PAIVA LTDA;28.480.323/0001-49;RUA ANTÔNIA MARIA DA CONCEIÇÃO;108;58084-192;JARDIM VENEZA;JOÃO PESSOA;PB;83 3242-0487 / 98767-6164;celpcolegioecurso@gmail.com
Dayse Pontes;022.443;022443;22443;CENTRO DE EDUCACAO INFANTIL;EDIVANIA BRAZ DA SILVA ARAUJO;02.326.026/0001-50;RUA SELTON BRAZ DOS SANTOS;30;58345-000;CENTRO;MARI;PB;83 99622-9267;educandariobrazcei@hotmail.com
Dayse Pontes;010.424;010424;10424;CENTRO DE EDUCACAO INFANTIL MACHADO DE ASSIS;OMENITA LUCENA DE MORAES - ME;02.756.664/0001-00;PRAÇA MAGRINA MAROJA;29;58270-000;CENTRO;ARAÇAGI;PB;83 98784-0537 / 3274-1585 / 98784-0537;colegioceima@gmail.com
Dayse Pontes;022.438;022438;22438;CENTRO EDUCACIONAL AGAPE;ESCOLA AGAPE VISAO LTDA-ME;08.039.096/0001-03;RUA JOÃO MONTEIRO FALCÃO;670;58315-000;CENTRO;LUCENA;PB;***;agapevisao@gmail.com
Dayse Pontes;021.811;021811;21811;CENTRO EDUCACIONAL ÁGAPE;CENTRO EDUCACIONAL AGAPE LTDA;09.278.985/0001-96;RUA ANTÔNIO FÉLIX;1477;58705-315;SETE CASAS;PATOS;PB;83 3421-4738;contato@agapepatos.com.br
Dayse Pontes;018.118;018118;18118;CENTRO EDUCACIONAL ANA AMELIA;JOAQUIM PEREIRA CORDÃO - ME;02.317.129/0001-53;RUA SEVERINO HERMÍNIO DE CARVALHO;600;58434-100;SERROTÃO;CAMPINA GRANDE;PB;83 99889-7954;***
Dayse Pontes;029.107;029107;29107;CENTRO EDUCACIONAL AQUARELA DO SABER;DAMARA CAVALCANTI PEREIRA LEAL LTDA;51.495.203/0001-37;RUA PROF. ALZIRA COUTINHO;417;58150-000;JARDIM ETELVINA;POCINHOS;PB;83 98722-3521;ceaquareladosaber2014@gmail.com
Dayse Pontes;026.866;026866;26866;CENTRO EDUCACIONAL ARTE E VIDA;LUCIENE LINS FERREIRA - ME;06.106.077/0001-27;R PRISCILA DE SOUSA BARBOSA;79;58441-000;CAMPINA GRANDE;SÃO JOSÉ DA MATA;PB;83 3314-1394;centroeducacionalarteevida@hotmail.com
Dayse Pontes;009.922;009922;9922;CENTRO EDUCACIONAL BETH SHALOM 1;ISMAR MATIAS RODRIGUES;01.732.060/0001-61;R LEONEL DA S COUTINHO;288;58057-050;MANGABEIRA;JOÃO PESSOA;PB;83 3239-2322;escolabethshalon@gmail.com
Dayse Pontes;017.881;017881;17881;CENTRO EDUCACIONAL CAUE - UNIDADE I;ABILIO RODRIGUES DA SILVA FILHO - ME;08.640.399/0001-87;RUA COMERCIANTE JOSÉ JOAQUIM DA CRUZ;146;58063-540;VALENTINA DE FIGUEIREDO;JOÃO PESSOA;PB;83 3237-3559 / 3042-3302;roseescolacaue@gmail.com
Dayse Pontes;036.148;036148;36148;CENTRO EDUCACIONAL CAUE - UNIDADE II;ABILIO RODRIGUES DA SILVA FILHO;08.640.399/0001-87;RUA CARLOS RIBEIRO PRADO;61;58075-100;ERNESTO GEISEL;JOÃO PESSOA;PB;83 3024-4231 / 9194-5026;roseescolacaue@gmail.com
Dayse Pontes;032.742;032742;32742;CENTRO EDUCACIONAL CRIATIVO;MARIA SALOME PEREIRA DE OLIVEIRA;02.581.822/0001-39;RUA EMILIANO ALVES;236;58441-000;CAMPINA GRANDE;SÃO JOSÉ DA MATA;PB;83 9930-0823 / 99885-4779;escolacecriativo@gmail.com
Dayse Pontes;027.941;027941;27941;CENTRO EDUCACIONAL DE ENSINO PENIEL;VALDETE COSTA DE AZEVEDO - ME;12.213.044/0001-89;RUA CRHISTIANE DANTAS CHAVES (LOT PRQ SOL);543;58067-062;GRAMAME;JOÃO PESSOA;PB;83 98840-7776;penielcoordenacao@gmail.com
Dayse Pontes;033.839;033839;33839;CENTRO EDUCACIONAL DESENVOLVER;EDJANE DO NASCIMENTO IRINEU;29.364.447/0001-21;RUA JOSÉ FERREIRA RAMOS;385;58424-227;TRÊS IRMÃS;CAMPINA GRANDE;PB;83 98861-9626;janeirineu@hotmail.com
Dayse Pontes;030.239;030239;30239;CENTRO EDUCACIONAL DOCE MEL;GITANIA VALERIANO HILARIO 06758879410;24.262.121/0001-70;RUA SÃO JOÃO BATISTA;43;58108-166;RENASCER;CABEDELO;PB;83 98719-3220;gyhmnuelly@gmail.com
Dayse Pontes;036.332;036332;36332;CENTRO EDUCACIONAL EDUCACAO ATIVA;NATALIA PEREIRA DE FIGUEIREDO ALVES;41.265.632/0001-64;RUA RUA MANOEL CORREIA PINTO;18;58387-000;CENTRO;JUAREZ TÁVORA;PB;83 8637-7599;coordenacaocolegioativa@gmail.com
Dayse Pontes;009.878;009878;9878;CENTRO EDUCACIONAL FILADELFIA;CENTRO EDUCACIONAL FILADELFIA LTDA;04.928.227/0001-52;RUA DA EXPORTAÇÃO;276;58083-140;INDÚSTRIAS;JOÃO PESSOA;PB;83 3012-4067 / 3212-4284 / 98650-1909;cleidimar-ss@hotmail.com
Dayse Pontes;034.061;034061;34061;CENTRO EDUCACIONAL PARAISO DO SABER;CENTRO EDUCACIONAL PARAISO DO SABER LTDA;03.372.747/0001-69;RUA ANTONIO BRASIL;120;58378-000;CENTRO;ITATUBA;PB;83 3337-5247 / 8740-6742;mb_deandrade@hotmail.com
Dayse Pontes;009.987;009987;9987;CENTRO EDUCACIONAL SANTA TEREZINHA;CENTRO EDUCACIONAL SANTA TEREZINHA LTDA;40.976.151/0001-02;RUA SIQUEIRA CAMPOS;80;58300-180;CENTRO;SANTA RITA;PB;83 98886-1125;cestpb@gmail.com
Dayse Pontes;030.219;030219;30219;CENTRO EDUCACIONAL SIMONE SOUZA;CENTRO EDUCACIONAL SIMONE SOUZA LTDA;31.919.132/0001-45;RUA AIRTON PEREIRA;88;58449-000;CAMPINA GRANDE;SANTA TEREZINHA;PB;83 98895-4786 / 98895-4786;seriescolegiocess@gmail.com
Dayse Pontes;009.640;009640;9640;CENTRO EDUCACIONAL SONHO DE ELOI - CESE;BETANIA DE KASSIA DE MARTINS ARAUJO;01.572.483/0001-61;RUA PRESIDENTE JOÃO PESSOA;18;58380-000;CENTRO;INGÁ;PB;83 99127-7205 / 9127-7205;sistemadeensinocese01@gmail.com
Dayse Pontes;018.182;018182;18182;CENTRO EDUCACIONAL TALENTUS;KELLY CRISTINA SILVA RODRIGUES - ME;05.483.290/0001-95;RUA ARMANDO SEVERINO DA SILVA;244;58067-024;GRAMAME;JOÃO PESSOA;PB;83 3282-4188 / 3237-2270 / 99623-3333;educacionalcet@gmail.com
Dayse Pontes;010.260;010260;10260;CENTRO EDUCACIONAL TURMINHA DO ABC;MARIA DO SOCORRO SILVA OLIVEIRA - ME;02.337.132/0001-39;RUA GAMA IV;78;58475-000;LIGEIRO;QUEIMADAS;PB;83 3331-1340 / 99644-1130;jonas_oliv@hotmail.com
Dayse Pontes;027.424;027424;27424;CENTRO EDUCACIONAL URIEL;MARCOS ANTONIO XAVIER DA SILVA-ME;11.476.990/0001-55;RUA DEPUTADO BARRETO SOBRINHO;181;58020-680;TAMBIÁ;JOÃO PESSOA;PB;83 3214-4250 / 8867-9412 / 98867-9412;maxssxam@hotmail.com
Dayse Pontes;010.296;010296;10296;COLEGIO 11 DE OUTUBRO;CIE CENTRO INTERATIVO DE ENSINO LTDA;06.075.488/0001-00;RUA VILA NOVA DA RAINHA;339;58400-220;CENTRO;CAMPINA GRANDE;PB;83 98706-3453;colegio11deoubrubro_tesouraria@hotmail.com
Dayse Pontes;035.714;035714;35714;COLEGIO AFETIVO;ANEZINA VIRGULINO DE SOUZA CANDIDO;17.364.684/0001-03;RUA MARIA SANTINA DA CONCEIÇÃO;22;58062-321;PARATIBE;JOÃO PESSOA;PB;83 98625-0286 / 9924-6025 / 99862-5028;col.afetivo@gmail.com
Dayse Pontes;017.782;017782;17782;COLEGIO AGAPE;COLEGIO AGAPE LTDA;26.554.368/0001-95;RUA CORREGO TEODOMIRO;61;58393-000;CENTRO;PILÕES;PB;83 99952-2975;colegio_agape@outook.com
Dayse Pontes;009.994;009994;9994;COLÉGIO CERTO;CERTO - COLÉGIO DE ENSINO FUNDAMENTAL E MEDIO LTDA;11.510.917/0001-52;RUA DA MANGUEIRA;51;58297-000;CENTRO;RIO TINTO;PB;83 99817-1166;colegiocerto.pb@hotmail.com
Dayse Pontes;029.190;029190;29190;COLEGIO CHAPEUZINHO VERMELHO;MARIA DA LUZ ALVES DE FARIAS - ME;21.073.286/0001-05;RUA PRESIDENTE JOÃO PESSOA;400;58278-000;CENTRO;JACARAÚ;PB;83 3295-1673 / 98789-9580;supervisoraelke@gmail.com
Dayse Pontes;010.039;010039;10039;COLEGIO CRISPIM ALMEIDA;NAFYTALY DE JESUS SILVA CRISPIM - ME;05.512.856/0001-60;RUA MEM DE SÁ;1500;58416-560;SANTA ROSA;CAMPINA GRANDE;PB;83 98823-5983 / 98868-6393;colegiocrispimalmeida@gmail.com
Dayse Pontes;011.474;011474;11474;COLEGIO E CURSO GENIUS;COLEGIO E CURSO GENIUS LTDA;59.058.523/0001-31;RUA MARIA EMÍLIA DE SOUSA PEREIRA;253;58059-416;MANGABEIRA;JOÃO PESSOA;PB;83 98890-5744 / 99836-0140;coordenacaogeniusjp@gmail.com
Dayse Pontes;017.271;017271;17271;COLEGIO E CURSO JOSE AMERICO DE ALMEIDA;COLEGIO E CURSO JOSE AMERICO DE ALMEIDA LTDA;10.322.843/0001-68;RUA SENADOR JOSÉ AMÉRICO;405;58300-250;CENTRO;SANTA RITA;PB;83 3229-3410 / 98732-5564;ccja@hotmail.com
Dayse Pontes;032.813;032813;32813;COLEGIO EVOLUCAO;CENTRO EDUCACIONAL EVOLUCAO - COLEGIO E CURSOS LTDA;53.319.053/0001-36;RUA EPITACIO PESSOA;34;58396-000;CENTRO;ARARA;PB;83 98709-8323;evolucaoarara@gmail.com
Dayse Pontes;017.277;017277;17277;COLÉGIO EXITTUS;ROMILDA DE SOUZA PEREIRA - ME;40.963.522/0001-03;RUA DOUTOR ABÍLIO PAIVA;16;58080-600;ERNANI SÁTIRO;JOÃO PESSOA;PB;83 3233-2309 / 98718-0108;educandariosantabarbara@gmail.com
Dayse Pontes;009.837;009837;9837;COLEGIO G I;INSTITUTO EDUCACIONAL GI LTDA - ME;04.936.804/0001-58;AVENIDA FLORIANO PEIXOTO;230;58015-280;JAGUARIBE;JOÃO PESSOA;PB;83 9906-2196 / 99119-1959;institutoeducacionalgi@gmail.com
Dayse Pontes;036.272;036272;36272;COLEGIO GERACAO;ELMA DE LIMA FERREIRA DA SILVA;43.751.710/0001-66;RUA GENERAL PEROUZE;S/N;58322-000;CENTRO;CONDE;PB;83 98173-1479;contatocolegiogeracao@gmail.com
Dayse Pontes;021.738;021738;21738;COLÉGIO GERAÇÃO CRIANÇA;COLEGIO GERACAO CRIANCA LTDA ME;13.071.133/0001-09;RUA IRANI ALMEIDA DE MENEZES;515;58078-010;FUNCIONÁRIOS;JOÃO PESSOA;PB;83 3234-7582 / 98894-5386;escolageracrianca@gmail.com
Dayse Pontes;029.531;029531;29531;COLÉGIO INA;JOSELI ANTONIO DOS SANTOS - ME;41.221.862/0001-21;RUA GERÔNCIO STANISLAU NÓBREGA;50;58067-005;GRAMAME;JOÃO PESSOA;PB;83 99613-8450;colegioina@gmail.com
Dayse Pontes;047.217;047217;47217;COLEGIO INES SOARES;MARIA TANIA SOARES FERREIRA;07.709.126/0001-89;R DA GAMELEIRA;530;58397-000;CENTRO;AREIA;PB;83 9127-6739;colegioinessoares@gmail.com
Dayse Pontes;010.055;010055;10055;COLÉGIO INTEGRIS;COLÉGIO INTEGRIS LTDA;39.411.792/0001-22;RUA JAFE MEDEIROS;112;58432-842;MALVINAS;CAMPINA GRANDE;PB;83 98643-7675;colegiointegris@gmail.com
Dayse Pontes;010.092;010092;10092;COLEGIO INTENSIVO - UNIDADE I;KATIA CILENE CARNEIRO DE OLIVEIRA;01.304.388/0001-87;RUA JORNALISTA JOSÉ RAMALHO;305;58081-110;COSTA E SILVA;JOÃO PESSOA;PB;83 3233-4420 / 99954-0285;colegiointensivo@hotmail.com
Dayse Pontes;036.144;036144;36144;COLEGIO INTENSIVO - UNIDADE II;INTENSIVO SERVICOS EDUCACIONAIS EIRELI;28.960.986/0001-60;AVENIDA DESEMBARGADOR NOVAIS;143;58085-450;CRUZ DAS ARMAS;JOÃO PESSOA;PB;83 3242-2194 / 9954-0107 / 99954-0107;***
Dayse Pontes;036.138;036138;36138;COLEGIO INTENSIVO - UNIDADE III;INTENSIVO SISTEMA DE ENSINO EIRELI;28.893.245/0001-04;RUA SANTA LUZIA;116;58110-444;BRASÍLIA;BAYEUX;PB;83 9954-0105 / 99954-0105;colegiointensivobayeux@hotmail.com
Dayse Pontes;010.053;010053;10053;COLEGIO MODELO TRADIÇAO;COLEGIO MODELO TRADIÇAO LTDA - ME;24.513.699/0001-51;AVENIDA AMAZONAS;811;58414-280;LIBERDADE;CAMPINA GRANDE;PB;83 3055-1209 / 3055-1209;colegiomodelotradicao@gmail.com
Dayse Pontes;035.454;035454;35454;COLEGIO MUNDO KIDS;COLÉGIO MNDO KIDS LTDA;32.100.929/0001-89;RUA JOÃO DE BRITO LIMA MOURA;94;58027-070;MANDACARU;JOÃO PESSOA;PB;83 99323-4240;colegiomundokidscmk@gmail.com
Dayse Pontes;010.185;010185;10185;COLEGIO NOVA VISAO;WESLEY DE OLIVEIRA FERNANDES;29.203.041/0001-67;AVENIDA ELPÍDIO DE ALMEIDA;1621;58410-215;CATOLÉ;CAMPINA GRANDE;PB;83 3337-3143 / 99833-8409;colegio_nv@hotmail.com
Dayse Pontes;010.307;010307;10307;COLEGIO NOVO ASTRAL;IZILDO DOS SANTOS LUIZ;35.487.321/0001-47;RUA BARÃO DE COTEGIPE;45;58280-000;CENTRO;MAMANGUAPE;PB;83 98881-7223;colegionovoastral@gmail.com
Dayse Pontes;009.958;009958;9958;COLÉGIO NOVO MILÊNIO;ODACY DE ANDRADE FREITAS SILVA - ME;04.213.341/0001-04;RUA REVERENDO INÁCIO CAVALCANTI RIBEIRO;295;58415-615;CRUZEIRO;CAMPINA GRANDE;PB;83 99412-6878;bmdebora@hotmail.com
Dayse Pontes;030.356;030356;30356;COLÉGIO ROSÂNGELA CAVALCANTI;ROSÂNGELA DA SILVA CAVALCANTI;27.777.205/0001-34;RUA ADEMAR LUCENA DE SOUZA;129;58424-192;TRÊS IRMÃS;CAMPINA GRANDE;PB;83 98828-4533;colegiorosangelac@gmail.com
Dayse Pontes;033.948;033948;33948;COLEGIO SAGRADA FAMILIA;WILMA DE LOURDES ALVES AGUIAR DE CARVALHO;04.350.540/0001-56;RUA PROFESSORA JOSENILDA DO SOCORRO VIEIRA;S/N;58103-689;JARDIM CAMBOINHA;CABEDELO;PB;83 98866-4209;wilmadelourdes@hotmail.com
Dayse Pontes;010.266;010266;10266;COLEGIO SANTA ANA;INSTITUTO SANTA ANA LTDA;08.522.294/0001-23;RUA LUÍS SOARES;267;58400-016;CENTRO;CAMPINA GRANDE;PB;83 3322-4517;santaanacolegio@hotmail.com
Dayse Pontes;009.963;009963;9963;COLEGIO SANTA RITA;COLEGIO SANTA RITA LTDA;08.754.350/0001-55;RUA VIGARIO ODILON;152;58397-000;CENTRO;AREIA;PB;83 3362-2881 / 98762-5784;colegiosantarita_areia@yahoo.com.br
Dayse Pontes;028.834;028834;28834;COLEGIO SETE DE SETEMBRO;COLEGIO SETE DE SETEMBRO LTDA - ME;05.477.057/0001-08;RUA SEBASTIÃO FERNANDES LEITE;71;58125-000;CENTRO;ALAGOA NOVA;PB;83 98106-1753 / 98107-3842;colegiosetedesetembro@gmail.com
Dayse Pontes;017.259;017259;17259;COLÉGIO SHAMAH;ISIS ALEXANDRA LEMOS DA SILVA - ME;09.579.708/0001-13;RUA CIDADE DE SÃO MIGUEL DE TAIPU;234;58083-596;INDÚSTRIAS;JOÃO PESSOA;PB;83 99371-2663;colegioshamahjtm@gmail.com
Dayse Pontes;022.336;022336;22336;COLÉGIO SIGMA;RENATA BEZERRA DA SILVA EIRELI;14.017.393/0001-50;RUA VITORINO MIGUEL DE OLIVEIRA;1762;58275-000;CENTRO;ITAPOROROCA;PB;83 8736-1001 / 98633-4487;colegiosigma2022@gmail.com
Dayse Pontes;010.001;010001;10001;COLEGIO UNIAO;BENEDITA DA COSTA VIEIRA - ME;24.506.859/0001-35;RUA ANTENOR NAVARRO;25;58302-165;MUNICÍPIOS;SANTA RITA;PB;83 98638-2453;colegiouniao.edu@gmail.com
Dayse Pontes;010.037;010037;10037;COLÉGIO WALFREDO SIQUEIRA LUNA;MARIA DAS GRAÇAS ISIDRO DOS SANTOS - ME;03.315.168/0001-84;RUA DAS JUREMAS;168;58432-587;MALVINAS;CAMPINA GRANDE;PB;83 3066-1726 / 99846-1726;colegio.walfredo@hotmail.com
Dayse Pontes;021.474;021474;21474;COLIBRI COLÉGIO E CURSO;POLYANA VIEIRA NUNES -ME;09.027.767/0001-89;RUA 7 DE SETEMBRO;65;58275-000;ESTUDANTES;ITAPOROROCA;PB;83 98887-1596;polyanav3@gmail.com
Dayse Pontes;027.986;027986;27986;COOEDUC - VALE;COOPERATIVA DE TRABALHO DE PROFISSIONAIS DE EDUCACAO DO VALE DO PIANCO;***;RUA JOAQUIM LOPES RIBEIRO;280;58980-000;CENTRO;IBIARA;PB;83 3454-1134 / 98888-6554;carla_martins2@hotmail.com
Dayse Pontes;022.445;022445;22445;ECASA _ EDUCANDÁRIO CAMINHO DO SABER;ECASA - EDUCANDARIO CAMINHO DO SABER LTDA;11.474.744/0001-64;RUA CÍCERO DE FARIAS;S/N;58680-000;CENTRO;TAPEROÁ;PB;83 98879-7148;ecasaeducaa@gmail.com
Dayse Pontes;019.040;019040;19040;EDUCANDÁRIO AFONSO JÚNIOR;EDUCANDARIO MARLUCE E RANGEL LTDA-ME;14.794.760/0001-22;R JUSCELINO KUBSTCHEK;142;58340-000;CENTRO;SAPÉ;PB;83 99135-3204;marluceafonsojr@outlook.com
Dayse Pontes;010.278;010278;10278;EDUCANDÁRIO ALICE COUTINHO;EDUCANDÁRIO DANTAS LTDA;12.731.915/0001-56;RUA JOSÉ NOGUEIRA PEREIRA;96;58423-210;TRÊS IRMÃS;CAMPINA GRANDE;PB;83 3339-6147;contato@alicecoutinho.com
Dayse Pontes;009.471;009471;9471;EDUCANDARIO ARCO IRIS;MARICELIA FERNANDES DA SILVA;02.672.180/0001-83;RUA PEDRO NOBRE SOBRINHO;28;58255-000;CENTRO;BELÉM;PB;83 99869-2537 / 9630-3334;maricelianandesarcoiris@hotmail.com
Dayse Pontes;028.812;028812;28812;EDUCANDÁRIO BELO BAMBINO;MARIA EMILIA SIMPLICIO HILARIO - ME;17.052.636/0001-80;RUA JOAQUIM ANTÔNIO MARQUES;17;58028-370;IPÊS;JOÃO PESSOA;PB;83 98765-8418;educandariobelobambino@gmail.com
Dayse Pontes;010.232;010232;10232;EDUCANDARIO CAMINHO DO SABER;CENTRO DE EDUCACAO BASICA FUNDAMENTAL LTDA - ME;08.959.989/0001-77;RUA ANTONIO FAUSTINO;S/N;58178-000;CENTRO;NOVA FLORESTA;PB;83 99906-3774 / 9906-3774 / 99906-3774;***
Dayse Pontes;028.791;028791;28791;EDUCANDÁRIO CANTINHO FELIZ;JOSE ADAUTO ALVES PEREIRA;22.239.233/0001-84;RUA EUNICE BARBOSA;S/N;58370-000;CENTRO;SALGADO DE SÃO FÉLIX;PB;83 98807-7564 / 8725-4156 / 98807-7564;epcfdeuza@gmail.com
Dayse Pontes;010.284;010284;10284;EDUCANDARIO JEOVA GIRE;EDUCANDARIO JEOVA GIRE LTDA;04.866.739/0001-31;RUA MÁRCIO MOREIRA ANTUNES;508;58417-115;SANTA CRUZ;CAMPINA GRANDE;PB;83 99133-1583;ejovagire@gmail.com
Dayse Pontes;010.427;010427;10427;EDUCANDÁRIO JUSCELINO KUBSTICHEK DE OLIVEIRA;ALBA LUCIA & IRMAS LIMITADA - ME;24.216.376/0001-04;RUA MORISE DE MIRANDA GUSMÃO;538;58070-540;CRISTO REDENTOR;JOÃO PESSOA;PB;83 98779-8657;jkeducandario@gmail.com
Dayse Pontes;028.813;028813;28813;EDUCANDÁRIO LÁPIS MÁGICO;MARIZETE GONÇALVES HILARIO - ME;17.483.776/0001-02;RUA ALFREDO JOSÉ ATHAIDE;684;58027-740;ALTO DO CÉU;JOÃO PESSOA;PB;83 99854-1987;educandariolopesmagico@gmail.com
Dayse Pontes;020.383;020383;20383;EDUCANDARIO LIRIO DOS VALES;EDUCANDARIO LIRIO DOS VALES LTDA;04.784.750/0001-52;RUA ANDRELINO TIMOTEO;144;58960-000;CENTRO;BONITO DE SANTA FÉ;PB;83 9919-2378 / 99994-0026;***
Dayse Pontes;010.633;010633;10633;EDUCANDARIO MENINO JESUS DE PRAGA;COLEGIO MENINO JESUS DE PRAGA LTDA - ME;08.342.388/0001-10;RUA AUGUSTO DONATO;323;58135-000;CENTRO;ESPERANÇA;PB;83 8738-0577 / 99958-0323;mjpeducadores@gmail.com
Dayse Pontes;021.747;021747;21747;EDUCANDÁRIO NÚCLEO INFANTIL ARCO ÌRIS;LUCIA DE FATIMA OLIVEIRA DE LIMA;00.659.841/0001-05;RUA JOÃO PESSOA;47;58253-000;CENTRO;CAIÇARA;PB;83 9151-1256 / 99151-1256;eniai1995@gmail.com
Dayse Pontes;035.857;035857;35857;EDUCANDARIO OBCD;HELIDA MARIA FONTE PESSOA 09072122470;13.884.666/0001-00;RUA PE RUA CATOLE;5202;58297-000;VILA REGINA;RIO TINTO;PB;83 9163-4219;educobdc@gmail.com
Dayse Pontes;022.328;022328;22328;EDUCANDARIO ROSALINDA MONDINI;ANTONIA VILMA DUARTE SOARES-ME;02.596.423/0001-41;RUA DOUTOR JOÃO PEQUENO;108;58390-000;CENTRO;ALAGOINHA;PB;83 8883-3090 / 98901-6786;nathalyjanuaria@gmail.com
Dayse Pontes;011.551;011551;11551;EDUCANDARIO SANTA VITORIA;EDUCANDARIO SANTA VITORIA LTDA;07.622.354/0001-17;AVENIDA PRESIDENTE JOÃO PESSOA;651;58220-000;CENTRO;BANANEIRAS;PB;83 3367-1449 / 9915-3636 / 99915-3636;educandariosantavitoria@hotmail.com
Dayse Pontes;013.647;013647;13647;EDUCANDARIO SANTO ANTONIO;MARIA DO SOCORRO DE MEDEIROS SILVA - ME;35.569.011/0001-71;AVENIDA SÃO SEBASTIÃO;48;58110-138;CENTRO;BAYEUX;PB;83 99417-5183;esacolegioecurso@hotmail.com
